Auto mobile,Year,cases
Lorries,2000,3698
Lorries,2001,4306
Lorries,2002,4570
Lorries,2003,5551
Lorries,2004,4892
Lorries,2005,5507
Lorries,2006,6338
Lorries,2007,5047
Lorries,2008,6263
Lorries,2009,5346
Lorries,2010,4067
Lorries,2011,3685
Lorries,2012,4526
Lorries,2013,4981
Lorries,2014,4077
Lorries,2015,3395
Lorries,2016,3050
Lorries,2017,2101
Lorries,2018,1761
Lorries,2019,1549
Motorcars,2000,7278
Motorcars,2001,8520
Motorcars,2002,8544
Motorcars,2003,8537
Motorcars,2004,8624
Motorcars,2005,9711
Motorcars,2006,11154
Motorcars,2007,12428
Motorcars,2008,15198
Motorcars,2009,14206
Motorcars,2010,15333
Motorcars,2011,16129
Motorcars,2012,16196
Motorcars,2013,16733
Motorcars,2014,13435
Motorcars,2015,12049
Motorcars,2016,10607
Motorcars,2017,8483
Motorcars,2018,7413
Motorcars,2019,6817
Scooters,2000,45903
Scooters,2001,47223
Scooters,2002,47137
Scooters,2003,50212
Scooters,2004,51560
Scooters,2005,51709
Scooters,2006,65462
Scooters,2007,67606
Scooters,2008,67359
Scooters,2009,60886
Scooters,2010,52782
Scooters,2011,48945
Scooters,2012,51259
Scooters,2013,49133
Scooters,2014,43181
Scooters,2015,38565
Scooters,2016,34754
Scooters,2017,31568
Scooters,2018,26779
Scooters,2019,22501
